"Tên chính","Tên khác","Tên khoa học","Họ","Mô tả","Bộ phận dùng","Nơi sống và thu hái","Thành phần hoá học","Tính vị, tác dụng","Công dụng, chỉ định và phối hợp","Liều dùng","Đơn thuốc"
"Bạch đầu nhỏ","Cúc bạc đầu","Vernonia patula (Dryand.) Merr.","Cúc - Asteraceae","Cây thảo sống hằng năm, cao 50-70cm, phần nhánh từ khoảng giữa. Lá hình bánh bò hay hình thoi, thon hẹp dần thành cuống; mép có răng lượn sóng, mặt trên ít lông, mắt dưới đầy lông mềm màu trắng bạc, dài 2,5-5cm, rộng 1-1,5cm. Ngù hoa có lá gồm nhiều cụm hoa đầu, màu tim tím, hình cầu, đường kính 6-8mm, bao chung có lông. Quả bế 4-5 góc, không có khía, nhẵn, có tuyến, dài khoảng 1,5mm, mào lông dài 4-5mm, màu trắng, mau rụng. Mùa hoa quả tháng 11-5.","Toàn cây - Herba Vernoniae.","Loài phân bố khắp Ðông Dương và vùng Viễn Ðông. Ở nước ta, thường gặp mọc hoang ở bờ ruộng, đồng bằng. Có thể thu hái toàn cây quanh năm, dùng tươi hay phơi khô.","","Vị đắng, ngọt, tính mát; có tác dụng bổ, hạ nhiệt, làm ra mồ hôi, tán hàn, làm se, cầm ỉa chảy.","Chồi non có thể dùng luộc làm rau ăn. Thường dùng trị: 1. Viêm ruột - dạ dày cấp, ỉa chảy; 2. Phong nhiệt, cảm mạo, nhức đầu, sốt và rét; 3. Rong huyết. Có khi được dùng làm thuốc bổ, dùng cho phụ nữ sinh đẻ uống trừ hậu sản, thường dùng dưới dạng thuốc sắc hay thuốc hãm uống. Dùng ngoài giã đắp dùng trị mụn nhọt.","","Rong kinh: Lá Bạch đầu nhỏ, lá Bạc thau, lá Ngải cứu mỗi thứ một nhúm tay, giã nát lọc nước uống."
"Bạch đầu ông","Nụ áo hoa tím, Bạc đầu nâu","Vernonia cinerea (L.) Less.","Cúc - Asteraceae","Cây thảo cao 20-80cm, rất đa dạng. Thân đứng có khía, có lông mềm rạp xuống. Lá hình dải, hình múi mác hay hình quả Trám, gần như nguyên hay có răng rõ, kích thước rất thay đổi. Cụm hoa là ngù ở ngọn, đôi lúc ở bên, gồm nhiều đầu. Lá bắc xếp thành 3 hàng. Mào lông màu trắng hay vàng nhạt, lông không đều nhau, những lông ngoài rất ngắn. Tràng hoa màu hồng hay đo đỏ, các thuỳ thuôn, hình chỉ. Bao phấn có tai rất ngắn. Quả bế có lông nhung dày, có rạch hay không. Cây ra hoa tháng 11 đến tháng 6.","Toàn cây - Herba Vernoniae Cinereae.","Loài cây cổ nhiệt đới, mọc hoang rất thông thường ven đường đi, bãi cát, bờ ruộng. Cũng phân bố ở nhiều nơi khác vùng Viễn đông, ở châu Phi, châu Ðại dương. Thu hái toàn cây quanh năm, tốt nhất là vào mùa hè, rửa sạch, dùng tươi hay phơi khô.","Toàn cây có b-amyrin acetat, lupeol acetat, b-amyrin, lupeol, b-sitosterol, stigmasterol và KCl.","Vị đắng, ngọt, tính mát; có tác dụng thanh can, thoái nhiệt, an thần.","Cây có vị đắng, nhưng ở Java (Inđônêxia) người ta dùng toàn cây nấu chín ăn như rau. Ở Ðông Phi Châu, lá và hoa được xem như là lợi tiêu hoá. Thường dùng trị: 1. Sổ mũi, sốt, ho (lá); 2. Lỵ, ỉa chảy, đau dạ dày (rễ); 3. Viêm gan (hoàng đản cấp tính); 4. Suy nhược thần kinh; 5. Mụn nhọt, viêm tuyến sữa, hắc lào, chàm, rắn cắn...","Ngày dùng 15-30g cây khô sắc uống với các vị thuốc khác. Dùng lá giã đắp để chữa đinh nhọt, rắn cắn và bệnh ngoài da. Bột lá lẫn với vôi dùng đắp trị đau đầu, vết thương. Có thể dùng cành lá nấu nước rửa.","1. Sổ mũi, sốt, ho Bạch đầu ông, Ngũ trảo, rễ Bồ hòn, lá Gừa (sanh) mỗi vị 15g nấu nước uống.
2. Suy nhược thần kinh: Bạch đàn ông, Hy thiêm mỗi vị 15g, Chua me đất, Rau bợ mỗi vị 12g, Sẹ (Alpinia oxyphylla) 6g, sắc uống.
3. Huyết áp cao: Bạch đầu ông, Chua me đất, Hy thiêm mỗi vị 15g, đun sôi lấy nước uống."
"Bạch đồng nữ","Mò hoa trắng","Clerodendrum viscosum-Vent.","Cỏ roi ngựa - Verbenaceae","Cây bụi nhỏ, cao khoảng 1m; thường rụng lá. Nhánh vuông, có lông vàng. Lá mọc đối, hình tim, có lông cứng và tuyến nhỏ, mép có răng nhọn hay nguyên. Chuỳ hoa to, hình tháp có lông màu vàng hung. Hoa trắng vàng vàng, đài có tuyến hình khiên; tràng có lông nhiều, nhị thò ra. Quả hạch đen, mang đài màu đỏ tồn tại ở trên. Cây ra hoa tháng 2-3.","Rễ - Radix Clerodendri Viscosi.","Cây mọc hoang ở Ðông Dương và Trung Quốc, gặp ở nhiều nơi, trên đồi dốc, rừng và các lùm bụi. Có thể thu hái rễ quanh năm. Rửa sạch, thái nhỏ và phơi khô ngoài nắng.","","Rễ có vị ngọt và nhạt, tính mát; có tác dụng thanh nhiệt tiêu viêm, điều hoà dịch thể, làm long đờm rãi, làm mát máu và cầm máu.","Thường được dùng trị 1. Ho, cảm lạnh, sốt; 2. Lao phổi, ho ra máu; 3. Lỵ trực khuẩn; 4. Viêm gan.","15-30g, dạng thuốc sắc.",""
"Ba chẽ","Niễng đực, Ván đất, Ðậu bạc đầu","Dendrolobium triangulare (Retz) Schindler (Desmodium triangulare (Retz) Merr.D.cephalotes (Roxb) Wallex Wight et Arn)","Ðậu - Fabaceae","Cây nhỏ cao 2-3m. Thân tròn. Cành non hình tam giác dẹt. Lá kép gồm ba lá chét, hình trứng, mép nguyên, cái ở giữa lớn hơn cái hai bên. Mặt dưới lá màu trắng bạc. Lá non có lông trắng ở cả hai mặt. Hoa màu trắng tụ họp ở nách lá. Quả đậu có lông, thắt lại ở các hạt. Hạt hình thận.","Lá - Folium Dendrolobii.","Cây của vùng Ấn Độ - Malaixia mọc hoang ở các đồng cỏ, vùng đồi trung du và vùng núi Lai Châu, Lào Cai, Lạng Sơn qua vùng Tây Nguyên đến An Giang. Thu hái lá vào mùa xuân hè. Dùng tươi hay phơi khô, hoặc sấy ở nhiệt độ 50-600, có thể sao cho hơi vàng để có mùi thơm.","Lá chứa tanin, flavonoid, acid hữu cơ và alcaloid.","Cây có tác dụng kháng khuẩn chống viêm.","Nhân dân thường dùng lá để chữa lỵ, trực khuẩn, hội chứng lỵ, ỉa chảy và rắn cắn. Cũng có khi dùng chữa bệnh tê thấp.","20-30 (hay 50) gam lá, sao vàng sắc uống hoặc nấu cao mềm uống. Viên Ba chẽ (bào chế từ cao Ba chẽ) để chữa bệnh ỉa chảy và lỵ trực khuẩn. Liều dùng 10-15 viên chia 2-3 lần uống sau bữa ăn.","1. Chữa lỵ: Lá Ba chẽ phơi khô, sao vàng 30-50g, thêm nước, đun sôi 15-30 phút. Chia hai lần uống trong ngày. Uống liên tục trong 3-5 ngày, tuỳ theo bệnh nhẹ hay nặng. Có thể phối hợp với Ké hoa đào, cùng liều lượng để sắc uống.
2 - Rắn cắn: Lá Ba chẽ tươi giã nát hay nhai nuốt nước, lấy bã đắp."
"Bạch hạc","Kiến cò, Cây lác","Rhinacanthus nasutus (L.) Kurz","Ô rô - Acanthaceae","Cây nhỏ mọc thành bụi, cao 1-2m, có rễ chùm. Thân non có lông mịn. Lá mọc đối, có cuống, phiến hình trứng thuôn dài, mặt trên nhẵn, mặt dưới hơi có lông mịn. Hoa nhỏ, mọc thành xim nhiều hoa ở nách lá hoặc đầu cành hay ngọn thân. Hoa màu trắng nom như con hạc đang bay. Quả nang dài, có lông. Cây ra hoa tháng 8.","Lá, thân và rễ - Folium, Caulis et Radix Rhinacanthi.","Cây của miền Ấn Độ, mọc hoang và cũng được trồng. Trồng bằng gốc cây. Thu hái thân lá quanh năm, thường dùng tươi. Rễ cũng được thu hái quanh năm, dùng tươi hay phơi khô.","Trong rễ có hoạt chất rhinacanthin, gần giống acid chrysophanic và acid frangulic.","Cây có vị ngọt dịu và dịu, tính bình, có tác dụng chống ho, sát trùng, chống ngứa, trừ phong thấp. Rễ có mùi hắc nhẹ, vị ngọt tựa như mùi Sắn rừng.","Thường dùng trị: 1. Lao phổi khởi phát, ho; 2. Viêm phế quản cấp và mạn; 3. Phong thấp, tê bại, nhức gân, đau xương, viêm khớp; 4. Huyết áp cao. Dùng ngoài trị bệnh ecpet mảng tròn, eczema, hắc lào, lở ngứa.","9-15g, dạng thuốc sắc. Dùng ngoài: Lấy cây lá tươi giã đắp hoặc nấu nước rửa.","1. Lao phổi: Thân và lá Bạch hạc 20g, sắc nước, cho thêm đường uống.
2. Eczema, hắc lào: Giã một lượng vừa đủ cây lá tươi thêm cồn 70o ngâm và dùng ngoài. Có thể dùng rễ tươi giã nhỏ, ngâm rượu hoặc giấm trong một tuần lễ lấy nước bôi."
"Bách hợp","Tỏi rừng","Lilium brownii F.E Brown var colchesteri Wilson","Hoa loa kèn - Liliaceae","Cây thảo cao 0,5-1m, sống nhiều năm. Thân hành to màu trắng đục có khi phớt hồng, gần hình cầu, vẩy nhẵn và dễ gẫy. Lá mọc so le, hình mắc thuôn, mép nguyên, dài 2-15cm, rộng 0,5-3,5cm. Cụm hoa mọc ở đầu cành, gồm 2-6 hoa to, hình loa kèn, dài 14-16cm, với 6 cánh hoa màu trắng hay hơi hồng. Quả nang 5-6cm có 3 ngăn, chứa nhiều hạt nhỏ hình trái xoan.","Thân hành - Bulbus Lilii.","Cây mọc hoang ở các trảng cỏ và bờ mương rẫy vùng núi (Cao Bằng, Lạng Sơn, Sơn La, Lai Châu, Lào Cai, Hà Giang...) cũng có nơi trồng để lấy thân hành ăn. Trồng bằng giò như trồng hành, Tỏi. Sau một năm thu hoạch thường người ta ngắt hết hoa để cho củ to. Thu hoạch củ vào cuối mùa hè, đầu thu, khi cây bắt đầu khô héo. Ðào về rửa sạch, tách riêng từng vẩy, nhúng nước sôi 5-10 phút cho vừa chín tái, rồi đem phơi hay sấy khô.","Thân hành chứa glucid 30%, protid 4%, lipid 0,1%, vitamin C và colchicein.","Vị đắng tính hàn, có tác dụng nhuận phế, tiêu đờm, trừ ho, dưỡng tâm, an thần, thanh nhiệt, lợi tiểu.","Chữa lao phổi, ho khan hoặc ho có đờm quánh, ho ra máu, viêm phế quản, sốt, thần kinh suy nhược. Còn dùng chữa tim đập mạnh, phù thũng.","Ngày dùng 8-20g dạng thuốc sắc hoặc bột. Khi chữa ho, đau ngực, lao phổi, ho ra máu, thường dùng tươi giã nát, ép nước uống.","1. Chữa ho lâu, phổi yếu, tâm thần suy nhược, lo âu, hồi hộp, buồn bực, ít ngủ; dùng Bách hợp. Mạch môn, Sinh địa, đều 20g. Tâm sen sao 5g sắc uống.
2. Chữa triệu chứng đau ngực, thổ huyết: Bách hợp giã tươi, lấy nước uống.
3. Chữa viêm phế quản, Bách hợp 30g, Mạch môn 10g. Bách bộ 8g, Thiên môn đông 10g. Tang bạch bì 12g, ý dĩ nhân 15g, sắc với 1 lít nước, còn 400ml chia ba lần uống trong ngày.
4. Chữa đại tiện ra máu: Hạt Bách hợp tẩm rượu sao, tán nhỏ, uống 6-12g.
5. Chữa đau dạ dày mạn tính, thỉnh thoảng đau bụng: Bách hợp 30g, Ô dược 10g sắc uống."
"Ba chĩa","","Aglaia merostele Pell","Xoan - Meliaceae","Cây gỗ nhỡ ít nhánh. Lá kép to, có cuống chung dài 1-1,5m mang 25-27 cặp lá chét thuôn dài 35-45cm, mỏng, mặt trên không lông, mặt dưới có lông như nhung màu hung. Chuỳ hoa ở ngọn, có lông, hoa vàng cao 2mm; bao phấn 5; bầu 3 ô. Quả mọng xoan, cao 4cm, màu vàng; hạt 1.","Lá - Folium Aglaiae.","Cây mọc ở rừng thường xanh ở Gia Lai và Ðồng Nai.","","","Quả ăn được, lá dùng chữa sốt rét.","",""
"Bách kim","","Erytharaea spicata Pers","Long đờm - Gentianaceae","Cây thảo cao 10-30cm, thân thẳng, phân nhánh từ gốc, hoặc bắt đầu từ giữa thân, có các nhánh đứng. Lá không cuống, bầu dục thuôn, dài 1,5-2,5cm, rộng 0,3-1,3cm và có 2 tai tròn ở gốc hầu như tù ở đầu. Hoa hồng không cuống hay gần như không cuống, thành bông kéo dài, thưa, nằm một bên, trên toàn thân hay chỉ ở nửa trên. Quả nang mảnh, hai van; hạt nhiều, rất nhỏ, gần như hình cầu, nhăn nheo. Hoa tháng 4.","Toàn cây - Herba Erythraeae.","Cây của châu Âu, châu Phi. Phổ biến trong các ruộng bỏ hoang ở Ninh Bình.","","","cây dùng nấu nước uống lợi tiểu. Thường lẫn lộn với thân cây Cù mạch - Dianthus superbus l, có khi cũng gọi là Cù mạch.","",""
"Bạch liễm","","Ampelopsis japonica (Thunb.) Makino","Nho - Vitaceae","Dây leo, không lông, thân cứng, vòi chẻ hai. Lá hai lần kép, cuống có cánh, thường có 3-5 lá chét hình trái xoan bánh bò 4 x 2 cm, nhọn hai đầu, gân lồi và có lông, mặt trên nâu sẫm, mặt dưới trăng trắng, mép có răng nhỏ và có lông. Cụm hoa đối diện với lá, nhỏ, lưỡng phân; nụ tròn, to 1-1,5mm. Mùa hoa tháng 5- (7-8) quả tháng 9-10.","Rễ - Radix Ampelopsis, thường gọi là Bạch liễm.","Chỉ mới biết phân bố ở vùng Tây Nguyên.","Trong củ có chất nhầy và tinh bột.","Vị đắng, ngọt, hơi lạnh; có tác dụng thanh nhiệt giải độc, tiêu ung, tán kết.","thường dùng chữa trĩ rò, tràng nhạc, mụn nhọt sưng lở, bỏng lửa và bỏng nước.","6-12g dạng thuốc sắc. Dùng ngoài lấy rễ giã đắp chỗ đau.",""
"Bách nhật","Cúc bách nhật, Bông nở ngày","Gomphrena globosa l","Rau dền - Amaranthaceae","Cây thảo mộc hàng năm cao 30-80cm, có lông. Lá mọc đối, mặt dưới phủ lông mềm màu trắng nhạt. Hoa họp thành đầu, màu đỏ tía, có hai lá ở gốc; trục cụm hoa có lông nhung. Lá bắc hình thuôn nhọn, khô xác; lá bắc con ôm lấy hoa. Đài 5 dính thành ống. Nhị 5. Bầu hình trứng với hai đầu nhuỵ hình chỉ. Quả là một túi có vỏ mỏng như màng. Hạt hình trứng màu nâu đỏ, bóng loáng. Mùa hoa tháng 7-10.","Hoa - Flos Gomphreae, thường gọi là Thiên nhất hồng. Cũng như toàn cây.","Cây gốc ở châu Mỹ nhiệt đới, được trồng chủ yếu làm cảnh. Có thể thu hái hoa vào mùa hè thu khi hoa nở, dùng tươi hay phơi khô. Cây có thể thu hái quanh năm.","Trong cụm hoa có gomphrenin 1. II.III.V.VI. Còn có amarathin và isoamaranthin.","Vị ngọt, hơi chát, tính bình; có tác dụng khử đàm, tiêu viêm, bình suyễn, chống ho.","Thường dùng trị: 1. Hen phế quản, viêm khí quản cấp và mạn; 2. Ho gà, lao phổi và ho ra máu; 3. Ðau mắt, đau đầu; 4. Sốt trẻ em, khóc thét về đêm; 5. Lỵ. Dùng ngoài trị chấn thương bầm dập, bệnh ngoài da. ở Campuchia, người ta dùng trị thấp khớp, đau nhức mình sau khi sinh.","9-15g dạng thuốc sắc.","1. Hen phế quản: Cụm hoa Cúc bách nhật 6g, Tỳ bà diệp 6g, Bảy lá một hoa 6g. Nhót 10 g sắc uống, chia hai lần uống cách xa nhau. Các thành phần trên có thể nghiền thành bột, mỗi lần dùng 1,5-3g, 2 hay 3 lần trong ngày.
2. Trẻ em khóc thét về đêm: Cụm hoa Cúc bách nhật 5g, Xác ve sầu 3g, Cúc hoa 2g, sắc nước cho uống."
"Bạch phụ tử","Dầu mè đỏ, San hô","Jatropha multifida l.","Thầu dầu - Euphorbiaceae","Cây nhỡ rất nhẵn, cao tới 6m. Lá xẻ thuỳ chân vịt sâu, các thuỳ có nhiều răng hẹp, gốc phiến lá hình tròn, cuống dài bằng lá, lá kèm chia thành nhiều phiến hình chỉ. Cụm hoa hình xim dạng tán, có cuống dài mang hoa đơn tính màu đỏ. Hoa có 5 lá đài, 5 cánh hoa; ở hoa đực có 8 nhị; ở hoa cái có bầu nhẵn. Quả nang, hình trứng ngược, nhẵn, màu vàng nhạt, dài cỡ 3cm.","Rễ củ - Radix -jatrophae. Hạt, mủ, lá cũng được dùng.","Cây nguyên sản ở miền nhiệt đới châu Mỹ, được đem vào trồng ở nước ta làm cây cảnh và làm hàng rào. Rễ phình thành củ, cũng ăn được như củ Sắn (sau khi nướng chín). Củ giống như Thảo ô dầu mà nhỏ hơn, dài hơn 4cm, lúc khô vỏ sần sùi có vân, tương tự như củ Phụ tử. Củ thu hoạch vào tháng 3, phơi khô hoặc lùi nướng để dùng làm thuốc. Lá mủ thu hái quanh năm. Quả thu vào mùa thu.","Lá, thân, rễ đều chứa acid cyanhydric. Hạt chứa 30% dầu, có thể dùng thắp được.","Bạch phụ tử (củ) có vị cay ngọt, rất nóng, có độc, có tác dụng tán ứ, tiêu thũng, chỉ huyết.","Thường dùng trị cảm gió lạnh mất tiếng, trúng phong co cứng bại liệt, đau tim do huyết ứ và các bệnh phong ở đầu, mặt. Hạt cũng được dùng như hạt Dầu mè làm thuốc tẩy mạnh nhưng nguy hiểm, dễ gây ngộ độc. Có khi được dùng trị ho, làm ra mồ hôi. Lá cũng gây xổ nhưng kém hơn lá Dầu mè. Mủ cây dùng cầm máu và đắp vết thương cho liền gân. Cũng dùng trị rắn cắn.","3-6g củ, phối hợp với các vị thuốc khác.","1. Chữa trúng phong liệt nửa người: Bạch phụ tử, Tằm gió, Bò cạp (Toàn yết) với lượng bằng nhau, tán nhỏ, uống mỗi lần 6g với rượu, ngày uống 3 lần.
2. Chữa trẻ cấp kinh sốt cao co giật, co cứng: Bạch phụ tử, Nam tinh chế với Mật bò, Toàn yết. Tằm gió, Câu đằng, Phấn nứa, Bạch đàn, mỗi vị 4g sắc uống.
3. Chữa tim đau do máu ứ nguy cấp: Bạch phụ tử, Nhục quế, Đương quy đều 6g, sắc uống liên tục."
"Bạch thược","Thược dược","Paeonia lactiflora Pall. (P. albiflora Pall)","Mẫu đơn - Paeoniaceae","Cây thảo sống lâu năm, cao 50-80cm, lá mọc so le, chụm hai hay chụm ba, kép, với 9-12 phần phân chia, các đoạn không đều, hình trái xoan ngọn giáo, dài 8-12cm, rộng 2-4 cm mép nguyên, phía cuống hơi hồng. Hoa rất to mọc đơn độc, có mùi hoa Hồng, trên mỗi thân mang hoa có 1-7 hoa, rộng 10-12cm. Đài có 6 phiến, cánh hoa xếp trên một dãy hoặc hai dãy, màu hồng thịt trước khi nở, rồi chuyển dần sang màu trắng tinh; bao phấn màu da cam. Quả gồm 3-5 lá noãn. Có nhiều thứ trồng khác nhau, có hoa có độ lớn, số lượng cánh hoa, màu sắc... khác nhau. Hoa tháng 5-6.","Củ Thược dược hoa trắng. Radix Paeoniae Alba, thường gọi là Bạch thược. Củ Thược dược hoa đỏ - Radix Paeoniae Rubra, thường gọi là Xích thược.","Cây được nhập giống từ Trung Quốc vào trồng ở Sapa tỉnh Lào Cai. Người ta dùng củ có đường kính khoảng 1-2cm, dài 10-15cm, màu trắng hồng ít xơ. Ðào về rửa sạch, ngâm nước 1-2 giờ, ủ 1-2 ngày đêm (có thể đồ) rồi bào hay thái mỏng, sao qua. Có khi tẩm giấm rồi sao qua hay sao cháy cạnh, hoặc tẩm rượu sao qua. Lúc chưa bào chế thì cần phải sấy lưu huỳnh, khi đã bào chế rồi cần để nơi khô ráo, tránh ẩm.","Trong củ có paeoniflorin, oxypaeoniflorin, albiflorin, benzoylpaeoniflorin, oxypaeoniflorinone, paeonolide, paeonol... còn có tinh bột, tanin, calcium oxalat, một ít tinh dầu, acid benzoic, nhựa và chất béo, chất nhầy.","Bạch thược vị đắng chua, tính hơi chát; có tác dụng bình can chỉ thống, dưỡng huyết điều kinh, liễm âm chỉ hãn, bổ huyết bình can, tiêu sưng viêm, làm mát dịu. Xích thược vị đắng, tính bình, không chua, không có tác dụng thu liễm như Bạch thược mà lại có công năng hoạt huyết, làm tan máu ứ tụ mạnh hơn, thích dụng cho các trường hợp sưng tấy, đơn độc.","Tuỳ theo cách chế biến mà cây có Công dụng, chỉ định và phối hợp: - Nếu để sống: Chữa đau nhức, trị tả lỵ, giải nhiệt, chữa cảm mạo do chứng lo gây nên. - Nếu sao tẩm: Chữa các chứng bệnh về máu huyết, thông kinh nguyệt. - Nếu sao cháy cạnh: Chữa băng huyết. - Nếu sao vàng chữa đau bụng máu.","ngày dùng 6-12g dạng thuốc sắc.","1. Chữa kinh nguyệt không đều, đau bụng khi hành kinh, hoặc máu xấu ứ trệ sinh đau nhức; Bạch thược, Sinh địa mỗi vị 20g, Đương quy 10g. Xuyên khung 4g, gia Ngưu tất 20g sắc uống.
2. Chữa băng huyết, rong huyết, hành kinh không dứt hoặc ngừng rồi lại thấy: Bạch thược, Trắc bá diệp, sao sém đen, mỗi vị 12-20g sắc uống.
3. Chữa tiêu khát, đái đường: Bạch thược, cam thảo lượng bằng nhau tán bột, uống mỗi lần 4g, ngày uống 3 lần."
"Bạch thược nam","","Premna camboliana P.Dop var membranacea P.Dop","Cỏ roi ngựa - Verbenaceae","Cây nhỏ, nhánh non có lông mịn. Lá đa dạng có lông mịn ở mặt dưới. Ngù hoa có lông mịn, rộng 8cm. Ðài có lông mịn, hai môi, 5 răng. Tràng có môi trên nguyên, có lông ở trong, môi dưới có lông ở thuỳ giữa. Quả hạch cứng, đen, to 4mm.","Rễ, cành lá - Radix et Ramulus Premnae Cambodianae.","Cây của vùng Ðông Dương, mọc hoang. Gặp ở rừng núi Cấm, tỉnh An Giang.","","Là cây thuốc dân gian, chưa có tài liệu nghiên cứu.","Làm thuốc bổ cơ xương, trừ đau nhức. Còn dùng trị di tinh, mộng tinh và bạch đới.","",""
"Bạch tiền lá liễu","","Cynanchum stauntonii (Decne) Schltr. et Lévi.","Thiên Lý - Asclepiadaceae","Thân cứng, không lông, to 3-4mm, nhựa mủ trắng có phiến rất hẹp, dài 6-8cm, rộng 30-4cm, đầu nhọn, gân giữa nhạt, gân phụ không rõ; cuống dài 2-3mm. Cụm hoa xim ít hoa; cuống như chỉ cao 1mm; lá dài 2mm; cánh hoa dài 5mm xoắn vặn.","Thân rễ - Rhizoma Cynanchi Stautonii, thường gọi là Bạch tiền.","Cây mọc dựa bờ đê, đập, vùng Hà tiên tỉnh Kiên Giang. Thu hái thân rễ vào mùa thu, rửa sạch phơi cho khô.","Có glaucogenin A.B, glaucosideA glaucogenin - C-mono-D-thevetoside.","Vị cay, đắng, tính hơi ấm; có tác dụng khư phong tán nhiệt, tiêu thũng giảm đau, tả phế, giáng khí, hạ đàm ngừng ho.","Ở Trung Quốc, toàn cây dùng làm thuốc thanh nhiệt giải độc. Thân rễ được sử dụng nhiều chữa các bệnh về phổi, ho nhiều đờm, đau tức ngực, trẻ em cam tích.","",""
"Bả chuột","Lan củ chén, Bào trục cánh","thecostele alata (Roxb). Par. et Rchb,f (T. poilanei Gaguep)","Lan - Orchidaceae","Lan biểu sinh, có rễ dạng sợi, đường kính 5mm. Các hành giả dài 4-5cm, dày 2-3cm, có góc rãnh, bao bởi các sợi do các lá bẹ bị rách. Lá thuôn dài 15-25cm, rộng 3,5-4,5cm, thon hẹp thành cuống dài 2-4cm. Cán hoa mảnh, dài 14-40cm mang nhiều hoa ở nửa trên. Hoa nhỏ màu vàng nhạt tươi hay đậm có bớt tím, đường kính 15mm với cuống hoa dài 6-10mm. Cánh môi dạng ống màu tím, hai thuỳ bên cạnh hẹp, cong; cột nhị nhuỵ có cánh ở hai bên.","Toàn cây - Herba Thecosteles.","Cây mộc hoang rải rác ở vùng đồi núi, ở độ cao đến 1500m, từ các tỉnh phía Bắc (Vĩnh Phú) đến miền Trung của nước ta (Khánh Hoà).","","","A. Pételot ghi lại là ở Vĩnh Phú, người ta dùng cả cây, thái nhỏ nấu đặc, sau đó thêm một phần thạch tín và quấy đều, để nguội trong 5 giờ, thêm một ít gạo nếp và đặt lên bếp vài giờ. Sau đó lấy ra phơi khô. Làm lại lần nữa, gạo đã được tẩm độc dùng để làm bả diệt chuột.","",""
"Bạch xà (cây)","Ráng đa túc tai nhỏ","Polypodium subauriculatum Blume","Dương xỉ - Polypodiaceae","Cây có thân rễ bò rất dài, màu mốc trắng, vẩy nhỏ màu hung quăn. Lá thưa, cuống vàng dài 20-30cm, phiến dài 20-60cm. Lá chét bậc nhất mọc ngang, cách nhau 2cm, dài 10-15cm, rộng 16-20mm, mỏng gốc hơi có tai, mép nguyên hay có răng, đầu thon dài, có đốt ở cuống ngắn.","Thân rễ - Rhizoma Polypodii.","Cây phân bố ở Ðông Ấn Độ, Malaixia và bắc úc. Ở nước ta, cây thường gặp mọc trên đá vùng rừng núi. Thu hái thân rễ vào mùa khô, phơi khô hay phơi trong râm.","","Chưa được nghiên cứu.","Chỉ mới biết trong dân gian dùng làm thuốc hạ nhiệt nhanh, chữa các loại ban trái, chủ yếu là ban trắng.","","Ghi chú: Ở một số loài khác cùng chi Polypodium vulgare l., trong thân rễ có một acid glycyrrheic, đường, nhựa, và có chất polypodin kích thích sự tiết mật. Ðược dùng làm thuốc long đờm trong trường hợp viêm khí quản và làm tiết mật, có tác dụng nhuận tràng nhẹ. Có thể dùng dưới dạng thuốc sắc hay tán bột uống."
"Bạc lá","","Croton arygratus Blume.","Thầu dầu - Euphorbiacceae","Cây gỗ cao khoảng 13m, có nhánh sần sùi với nhiều vết sẹo lá sít nhau. Lá cụm 3-8 cái ở ngọn các nhánh, nguyên hình trái xoan hay ngọn giáo, nhọn thành mũi mảnh ở đỉnh, thon hẹp hay rộng và tròn ở gốc, hơi hình khiên, màu lục sẫm ở mặt trên, mặt dưới phủ đầy lông hình khiên màu sét, gân phụ 6-9 cặp; cuống dài 1-8cm, dày lông hình khiên; lá kèm 5-6mm. Chùm hoa đứng 10-20cm ở ngọn, phủ lông màu sét. Quả hình trứng ngược, đường kính 8-20mm, màu sét. Hạt nâu, hình trái xoan, trái 5-12mm, hơi có lông hình sao.","Lá - Folium Crotonis","Cây mọc ở rừng tới độ cao 300m từ các tỉnh phía Bắc tới Thừa Thiên - Huế, Quảng Nam - Ðà Nắng, Khánh Hoà và Ðồng Nai. Cũng phân bố ở Campuchia và Ấn Độ.","","","Lá được dùng làm trà uống.","","Ghi chú: Một số khác như Côn chè như Cù đèn trà - Croton potabilis Croiz., chỉ phân bố ở các tỉnh Quảng Trị tới Quảng Nam- Ðà Nẵng, cũng có lá dùng uống như trà."
"Bạc biển","","Argusia argentea (L.f) Heine - (Messerschmidia argentea (L) johnston)","Vòi voi - Boraginaceae","Cây gỗ nhỏ cao 3-4m, gốc to 20cm. Lá mọc khít nhau ở ngọn các nhánh; phiến lá hình trái xoan thuôn, dài 10-16cm, rộng cỡ 6cm, đầy lông như nhung màu trắng bạc, gân phụ khó nhận; cuống không có. Xim bò cạp kép, hoa xếp theo hai hàng, màu trăng trắng, lá đài 5; tràng có ống ngắn với 5 thuỳ xoan nhọn; 5 nhị, đính gần gốc tràng. Quả hạch tròn bẹp, vàng vàng lúc chín, to 5-8mm. Hoa quả tháng 4-6.","Lá - Folium Argusiae.","Loài phân bố ở Trung Quốc, Việt Nam. Cây mọc ở vùng bờ biển của nước ta, từ Ðã Nẵng vào phía Nam.","","Chưa có tài liệu nghiên cứu.","Kinh nghiệm dân gian miền biển Khánh Hoà và một số vùng khác thường lấy lá làm thuốc trị nọc rắn biển cắn.","",""
