"chuong_so","tieu_de_chuong","ten_bai_thuoc","chua_tri","lieu_luong_cach_dung","cong_hieu","chu_y","ghi_chu","doi_tuong_phu_hop","luu_y","cong_dung_khac"
148,"CHỮA CHỨNG HÀNH KINH ĐAU","ĐAN SÂM, RƯỢU","Chữa hành kinh đau (bệnh trạng như trên)","Đan sâm 100g, rượu trắng 500ml, ngâm trong 7 ngày, ngày uống 2 lần, mỗi lần 10ml.","","Người âm hư, máu nóng, không dùng bài thuốc này","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","CAO SÂM, HOÀNG KỲ, TÁO TÀU","Chữa hành kinh đau, chứng hư (khi kinh nguyệt hoặc sau thời kỳ kinh nguyệt, khí huyết đều hư, bụng dưới đau, ấn xuống thì bớt đau, kinh nguyệt ra ít, màu nhạt, cơ thể mệt mỏi, bựa lưỡi trắng, nhạt miệng, mạch yếu)","Đảng sâm 50g, hoàng kỳ 100g, đương quy 30g, táo tàu 20 quả. Sắc 2 nước lấy 500 ml, bỏ bã thuốc cho vào 100g đường đỏ, quấy đều, cô đặc. Mỗi lần dùng 20ml, mỗi ngày 3 lần.","Bổ khí huyết, giảm đau","Những người âm hư, máu nóng, cảm nhiệt chưa khỏi không được dùng bài thuốc này.","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","GÀ ĐEN, TRẦN BÌ","Chữa hành kinh đau chứng hư (bệnh trạng như trên)","Thịt gà trống đen 500g (thái miếng) trần bì 3 g, gừng 3g, hồ tiêu 6g, thảo quả 2 quả, hành muối chua 1 ít. Tất cả cho vào ninh nhừ (nhỏ lửa). Ăn thịt, uống nước.","Ôn trung, bổ dạ dày, tăng khí huyết.","Những người âm hư, máu nóng, kinh nguyệt ra trước định kỳ, không được dùng bài thuốc này","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","HẠT QUẢ VẢI, TÔ MỘC, TIỂU HỒI","Chữa chứng đau lưng, đau bụng trong thời kỳ hành kinh.","Hạt quả vải 200g, tô mộc 100g, tiểu hồi 10g, ngâm với 1000ml rượu trong 15 ngày. Uống trước hay sau khi hành kinh đều được.","Bổ máu, điều hoà kinh nguyệt, giảm đau","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","HẠT HOÀNG BÌ, HẠT CAM, MỘC NHĨ","Chữa chứng đau bụng, đau lưng trong khi có kinh nguyệt.","Hạt hoàng bì 50g, hạt cam 50g, cam thảo 15g, cho vào nửa bát rượu, nửa bát nước, sắc lấy nước uống.","Bổ máu, giảm đau","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","HẠT CỦ CẢI, CỦ CẢI, TRẦN BÌ NẤU VỚI RUỘT LỢN NON","Phụ nữ béo, đau bụng khi hành kinh, thường ngày có nhiều đờm.","Hạt củ cải 50g, củ cải 1 củ, trần bì 15g, ruột non lợn 1 đoạn, ninh nhừ, lấy nước uống.","điều hòa kinh nguyệt, giảm đau.","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","TRỨNG GÀ NẤU VỚI CỎ ÍCH MẪU","Đau bụng khi hành kinh do khí huyết ngưng trệ.","Ích mẫu 30 - 60g, trứng gà 2 quả, cho vào nước đun sôi, trứng chín, bóc bỏ vỏ. Nấu chín kỹ ích mẫu với trứng gà. Ăn trứng, uống nước.","Giảm đau, khỏi tích huyết","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","TRỨNG VỊT VỎ TRẮNG, GỪNG TƯƠI, RƯỢU","Chữa chứng khi hành kinh đau bụng dưới hoặc đau vùng dạ dày, không muốn ăn uống.","Trứng vịt vỏ trắng 3 quả, gừng tươi 25g. hòa trứng vịt vào nửa bát rượu, quấy đều, cho vào 1 ít đường trắng + gừng, đun sôi kỹ. Ăn hết 1 lần.","Điều hoà kinh nguyệt, giảm đau","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","GỪNG TƯƠI, ĐƯỜNG ĐỎ","Đau bụng khi hành kinh","Gừng tươi, đường đỏ, mỗi thứ 50g sắc lấy nước uống.","Điều hoà kinh nguyệt, giảm đau","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","LÁ NGẢI, GỪNG TƯƠI, TRỨNG GÀ","Chữa hành kinh đau","Mỗi lần dùng 10g lá ngải, 15g gừng tươi, 2 quả trứng gà, trứng gà luộc chín bóc vỏ, cho trứng, lá ngải, gừng vào nước vừa đủ. Nấu chín nhừ. Ăn trứng, uống nước.","Điều hoà kinh nguyệt, giảm đau.","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","ĐẬU TƯƠNG, TÔ MỘC","Chữa chứng hành kinh đau bụng.","Đậu tương 50g (sao vàng tán nhỏ), tô mộc 12g, nấu chín kỹ cho vào 1 ít đường đỏ. Ăn hết 1 lần.","Bổ máu, giảm đau","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","TÁO TÀU, GỪNG KHÔ","Chữa chứng hành kinh đau bụng.","Táo 30g, gừng khô 10g, đường đỏ 30g sắc lấy nước uống.","Điều hoà kinh nguyệt, giảm đau","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","XUYÊN KHUNG, TRỨNG GÀ","Chữa chứng hành kinh đau bụng","Mỗi lần dùng 6 - 9g xuyên khung, 2 quả trứng gà, cho vào nước, đun sôi, trứng gà chín, bóc bỏ vỏ, cho trứng vào đun tiếp ít phút. Ăn trứng, uống nước.","Điều hoà kinh nguyệt, giảm đau","","","","",""
148,"CHỮA CHỨNG HÀNH KINH ĐAU","CÂY TƯỜNG VI, TRỨNG GÀ, CÂY THẤT DIỆP (CÂY KÉN)","Chữa hành kinh đau","Mỗi lần dùng 60g rễ cây tường vi tươi (nếu khô thì 30g), 9g cây thất diệp, cho vào 3 bát nước, sắc lấy 1 bát, vớt bỏ bã thuốc. Lấy 2 quả trứng gà, luộc chín bóc bỏ vỏ, cho trứng vào nước thuốc đun sôi kỹ, cho vào 1 ít rượu. Ăn trứng uống nước thuốc. Uống trước lúc có hành kinh vài ngày. Mỗi ngày 1 lần. Điều trị liên tục 2 - 4 ngày.","Bổ huyết, giảm đau","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","KÊ HUYẾT ĐẰNG, TRỨNG GÀ","Chữa tắc kinh do khí huyết hư (thiếu nữ đến 18 tuổi mà không thấy kinh hoặc kinh nguyệt đến quá trên 3 tháng, gọi là bệnh tắc kinh. Bệnh trạng tắc kinh do khí huyết hư là: váng đầu, ù tai; tim đập loạn nhịp, hụt hơi, thân thể mệt mỏi, nhạt miệng, mạch trầm)","30g kê huyết đằng, 2 quả trứng gà cho vào nước đun sôi, trứng chín vớt ra, bóc bỏ vỏ. Cho trứng vào đun tiếp, cho 1 ít đường trắng vào nước kê huyết đằng đun sôi kỹ. Ăn trứng, uống nước thuốc ngày 2 lần.","Bổ khí huyết, sinh huyết, thông kinh nguyệt. Đây là bài thuốc thông dụng, không phải kiêng kỵ gì.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","BỘT ĐỈA, SƠN DƯỢC","Chữa tắc kinh do khí huyết ngưng trệ, (bệnh trạng : tắc kinh đau bụng, bụng trướng, tinh thần phiền muộn, nóng nảy dễ nổi cáu, lưỡi thâm, mạch huyền)","Đỉa sống 30g, sao vàng, tán thành bột, sơn dược tươi 250g, nghiền thành bột. Mỗi lần dùng 20g bột sơn dược, hoà với nước đun sôi thành cháo, cho vào cháo 1 ít đường đỏ và 1 - 2g bột đỉa. Mỗi ngày uống 2 lần.","Sinh huyết, thông kinh nguyệt những người cơ thể khỏe mạnh, huyết ngưng trệ, tắc kinh cũng dùng bài thuốc này.","Những người huyết hư, tắc kinh không dùng bài thuốc này.","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","NHÂN HẠT ĐÀO, TIẾT DÊ","Chữa tắc kinh do khí huyết ngưng trệ (bệnh trạng như trên)","Nhân hạt đào 12g, Tiết dê tươi (đã đông) 200g, cho vào 500ml nước, ninh nhừ, cho thêm ít muối ăn. Mỗi ngày 1 - 2 lần, ăn vào 2 bữa cơm","Thông khí huyết, thông kinh nguyệt","Người tắc kinh do khí huyết hư, không được dùng bài thuốc này.","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","CÁ MỰC, NHÂN HẠT ĐÀO","Chữa tắc kinh","1 con cá mực, 15g nhân hạt đào nấu chín ăn hết 1 lần","","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","GỪNG XÀO, CÁ MỰC","Chữa tắc kinh do huyết hư","Mỗi lần dùng 30 - 50g gừng tươi thái sợi, cá mực (bỏ mai) khoảng 25g, rửa sạch, thái nhỏ cho dầu, muối ăn vào xào chín. Ăn vào bữa cơm.","Sinh huyết, thông kinh nguyệt","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","BA BA, TRẠCH LAN HẤP CÁCH THỦY","Chữa tắc kinh nguyệt","Mỗi lần dùng 1 con ba ba sống, nhúng ba ba vào nước sôi để ba ba bài tiết hết chất bẩn sau đó rửa sạch, mổ bỏ hết ruột gan, lấy 10g lá cây trạch lan, thái nhỏ cho vào bụng ba ba (để nguyên mai). Hấp cách thủy, cho đến khi chín nhừ, cho vào 1 ít rượu. Cách ngày ăn 1 lần. Điều trị liên tục 3 - 5 lần.","Thông huyết, bổ âm, thông kinh. Bài thuốc này còn có thể chữa trị sưng lá lách sau khi sốt rét.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","MAI BA BA, BỒ CÂU TRẮNG HẤP CÁCH THỦY","Chữa tắc kinh nguyệt do cơ thể suy nhược.","Mỗi lần dùng 30g mai ba ba, 1 con chim bồ câu trắng. Làm thịt bồ câu, làm sạch lông, bỏ ruột gan, tán mai ba ba thành bột, cho vào bụng chim bồ câu, cho vào 1 ít rượu. Hấp cách thủy đến khi chín nhừ. Cho vào 1 ít gia vị ăn hết 1 lần.","Tăng cường khí huyết, thông kinh nguyệt","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","CON TẰM, RƯỢU","Chữa tắc kinh nguyệt","Dùng 60g con tằm (để nguyên con tằm, sao khô) cho vào 500ml rượu, đun sôi vài phút, dùng vải lọc lấy nước, bỏ bã. Mỗi ngày uống 1 lần. Mỗi lần 20 - 30 ml.","Thông kinh nguyệt","Sau khi thông kinh nguyệt thì lập tức ngừng uống. Bài thuốc này cũng có tác dụng chữa trị cho chứng lưng gối đau mỏi, tay chân hoạt động khó khăn.","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","MỘC NHĨ, TÔ MỘC, RƯỢU","Kinh nguyệt đột nhiên tắc, quá 1, 2 tháng có hiện tượng trướng bụng.","Mộc nhĩ 50g, Tô mộc 50g, cho vào 1 bát nước và 1 bát rượu, sắc lấy 1 bát, uống hết 1 lần.","Sinh máu, thông kinh nguyệt.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","SỮA, NƯỚC LÁ HẸ","Kinh nguyệt đột nhiên tắc, quá 1, 2 tháng có hiện tượng trướng bụng","Sữa người 1 cốc, nước lá hẹ 1 cốc. Đun sôi uống hết 1 lần vào sáng sớm khi bụng đói.","bổ huyết, thông kinh nguyệt","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","UỐNG NƯỚC CHÈ XANH, ĐƯỜNG TRẮNG","Kinh nguyệt đột nhiên tắt, quá 1,2 tháng có hiện tượng trướng bụng.","Chè xanh 25g, đường trắng 100g, lấy 2 bát rưỡi nước sôi hãm chè, đường ngâm lộ thiên qua 1 đêm. Hôm sau uống hết 1 lần.","Sinh huyết, thông kinh nguyệt","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","GAN LỢN, TÁO TÀU, BÍ ĐAO","Phụ nữ cơ thể suy nhược, kinh nguyệt giảm từng tháng, dẫn đến mất hẳn, hoặc 1,2 tháng mới có 1 lần.","200g gan lợn, 20 quả táo, 1 quả bí đao. Gọt bí đao, bỏ vỏ, bỏ hột. Tất cả cho nước ninh nhừ, ăn.","Bổ máu, thông kinh nguyệt.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","MỘC NHĨ, TÁO TÀU, GÀ MÁI","Phụ nữ cơ thể suy nhược, kinh nguyệt hàng tháng giảm, đau đầu và mất hẳn. Hoặc cách 1, 2 tháng mới có.","Gà mái 1 con, mộc nhĩ 50g, táo 10 quả. Gà làm sạch, bỏ mật. Tất cả ninh nhừ ăn hết 1 lần.","Bổ huyết, thông kinh nguyệt.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","NƯỚC LÁ HẸ, NƯỚC GIẢI TRẺ EM","Kinh nguyệt không thông. Máu tươi ra từ miệng mũi.","Nước lá hẹ 1 cốc, nước giải trẻ em 1 cốc. Hoà với nước sôi uống hết.","","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","MAI BA BA, CHIM BỒ CÂU","Tắc kinh nguyệt","30g mai ba ba tán thành bột, cho vào bụng chim bồ câu (đã làm sạch) cho vào ít rượu, nước vừa đủ, ninh nhừ, ăn hết 1 lần.","Bổ huyết, thông kinh nguyệt.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","LÁ NGẢI, GỪNG TƯƠI, TRỨNG GÀ","Tắc kinh nguyệt","Mỗi lần dùng 10g lá ngải, 15g gừng tươi, 2 quả trứng gà, nước vừa đủ, luộc chín trứng gà, bóc bỏ vỏ, cho vào luộc chín kỹ. Ăn trứng, uống nước.","Sinh máu, thông kinh nguyệt.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","ĐƯƠNG QUY, GỪNG TƯƠI, THỊT DÊ","Khô máu, tắc kinh","Mỗi lần dùng 30g đương quy, 12g gừng tươi, 250g thịt dê, hấp cách thủy chín nhừ, ăn hết 1 lần.","Sinh máu, thông kinh nguyệt","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","XUYÊN KHUNG, TRỨNG GÀ","Tắc kinh nguyệt","Mỗi lần dùng 6 - 9g xuyên khung, 2 quả trứng gà, cho vào nước, đun sôi, trứng chín, vớt ra, bóc bỏ vỏ, lại cho đun tiếp chín kỹ. Ăn trứng, uống nước.","Bổ máu, thông kinh nguyệt","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","TÔ MỘC, TRỨNG VỊT","Máu tụ, tắc kinh nguyệt","Mỗi lần 6 - 12g tô mộc, trứng vịt vỏ trắng 1 đến 2 quả. Luộc chín trứng vịt, bóc bỏ vỏ. Rồi cho trứng và tổ mộc nấu kỹ. Ăn trứng, uống nước.","Điều hoà máu, thông kinh nguyệt.","Không được dùng lượng tô mộc quá nhiều. Dùng ít thì điều hòa sinh máu, dùng nhiều sẽ phá hủy máu.","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","CỎ ROI NGỰA, GAN LỢN HẤP CÁCH THỦY","Tắc kinh nguyệt","Mỗi lần dùng 60g cỏ roi ngựa tươi (nếu khô thì 30g), 60 - 100g gan lợn, thái nhỏ trộn đều. Hấp cách thủy đến khi chín nhừ thì ăn. Mỗi ngày 1 lần. Điều trị 3 - 4 lần sẽ có hiệu quả.","Thanh nhiệt, giải độc, sinh huyết, thông kinh nguyệt.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","GỪNG, CÁ MỰC","Tắc kinh nguyệt do huyết hư","Mỗi lần dùng 30 - 50g gừng tươi thái sợi. Cá mực khoảng 250g (bỏ mai) rửa sạch, thái nhỏ, cho dầm muối ăn vào xào chín. Ăn vào 2 bữa cơm.","Tăng khí huyết, bổ máu, thông kinh nguyệt.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","CON TẰM, RƯỢU","Tắc kinh nguyệt","Dùng 60g con tằm sao vàng, đổ 500 ml rượu, đun sôi vài phút, dùng vải lọc lấy nước bỏ bã. Mỗi ngày uống 1 lần, mỗi lần 25 - 30ml","Tăng cường khí huyết, thông kinh nguyệt.","Sau khi thông kinh nguyệt rồi thì ngừng không uống nữa.","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","NHÂN QUẢ ĐÀO, CÁ MỰC","Tắc kinh nguyệt, tụ huyết.","Mỗi lần dùng 10g nhân quả đào, 200g cá mực, rửa sạch, thái nhỏ, cho dầu, muối ăn, nấu chín. Ăn cá mực, uống nước.","Sinh máu, khỏi tụ huyết, bổ âm, thông kinh nguyệt.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","CỎ ÍCH MẪU, ĐẬU ĐEN","Tắc kinh nguyệt","Mỗi lần dùng 30g cỏ ích mẫu, 60g đậu đen, cho vào 3 bát nước, sắc lấy 1 bát, cho vào 1 ít đường đỏ, 1 - 2 thìa rượu, quấy đều, uống hết 1 lần. Mỗi ngày uống 1 lần, uống liên tục trong 7 ngày.","Sinh máu, khỏi tụ huyết, thông kinh nguyệt","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","THIÊN HƯƠNG LÔ NẤU VỚI THỊT LỢN NẠC","Tắc kinh nguyệt","Mỗi lần dùng 30g thiên hương lô, 100g thịt lợn nạc, cho nước, muối ăn vừa đủ, ninh nhừ, ăn hết 1 lần.","Sinh máu, thông kinh nguyệt.","","","","",""
149,"CHỮA CHỨNG TẮC KINH NGUYỆT","KÊ HUYẾT ĐẰNG, TRỨNG GÀ","Tắc kinh nguyệt","Mỗi lần dùng 32g kê huyết đằng, 2 quả trứng gà, cho vào 2 bát nước, đun sôi. Trứng chín vớt ra, bóc bỏ vỏ, cho trứng vào đun tiếp ít phút cho đến khi nước canh còn khoảng 1 bát, cho vào ít đường trắng. Ăn trứng, uống nước.","Bổ máu, thông kinh nguyệt.","","","","",""
150,"CHỮA CHỨNG ĐẢO NGƯỢC KINH NGUYỆT","NGƯU TẤT, ĐỊA HOÀNG","Đảo ngược kinh nguyệt (trong thời kỳ hành kinh hoặc trước sau thời kỳ kinh nguyệt xuất hiện chảy máu mũi, nhổ, nôn ra máu có tính chất quy luật gọi là đảo ngược kinh nguyệt. Biểu hiện bệnh trạng: Chảy máu mũi, nhổ ra máu, máu đỏ ra nhiều, buồn phiền nôn nóng dễ cáu gắt, miệng đắng, tai ù, tắc kinh nguyệt, hoặc có rất ít, lưỡi đỏ, bựa lưỡi vàng, mạch huyền).","Rễ cỏ tranh, xuyên ngưu tất, địa hoàng tươi mỗi thứ 30g, cho vào 500ml nước, sắc lấy 300ml, cho vào 1 ít đường trắng. Mỗi lần uống 100ml. Mỗi ngày 3 lần.","Hạ hư hỏa, thông kinh mạch, dẫn máu, mát máu, thanh nhiệt. Bài thuốc này sử dụng an toàn, thích hợp chữa trị chứng đảo ngược kinh nguyệt.","Người kinh nguyệt quá nhiều không dùng bài thuốc này.","","","",""
150,"CHỮA CHỨNG ĐẢO NGƯỢC KINH NGUYỆT","NƯỚC LÁ HẸ, NƯỚC GIẢI TRẺ EM","Đảo ngược kinh nguyệt, kinh nguyệt không thông, máu từ mồm mũi tuôn ra.","Nước lá hẹ 1 cốc, nước giải trẻ em 1 cốc. Hoà với nước sôi uống hết 1 lần.","Thông kinh nguyệt, dẫn máu.","","","","",""
151,"CHỮA BĂNG HUYẾT","CHÁO ĐỊA HOÀNG, GẠO TẺ","Băng huyết dạng máu nhiệt (ra nhiều máu đỏ tươi, mặt đỏ, miệng khô, nôn nóng, thiếu ngủ, bựa lưỡi vàng hoặc ít, mạch đập mạnh).","Địa hoàng tươi thái miếng, sắc kỹ, gạn lấy nước. Cho gạo tẻ và đường trắng (hoặc đường phèn) vào nấu thành cháo, cháo chín nhừ, cho vào 100ml nước địa hoàng, quấy đều. Mỗi ngày ăn 2- 3 lần. Mỗi lần 1 bát (khoảng 300ml).","","","","","",""
151,"CHỮA BĂNG HUYẾT","CAO ĐƯƠNG QUY, ĐẢNG SÂM, HOÀNG KỲ","Băng huyết thể tỳ thận hư (âm đạo ra máu đầm đìa không dứt, lúc ít hoặc nhiều, thời gian dài hoặc ngắn. Gọi là \"băng huyết\". (Bệnh trạng tỳ, thận hư; Ra máu dữ dội, hoặc đầm đìa không dính, nhạt máu, sắc mặt nhợt nhạt, thân thể mệt mỏi, chân tay lạnh, ỉa lỏng, nhạt miệng bựa lưỡi trắng, mạch trầm).","Đảng sâm, hoàng kỳ, long nhãn, mỗi thứ 100g, đương quy 50g, cam thảo 30g, táo 20 quả, cho vào 1.000 ml nước, Sắc lấy 700ml nước thứ nhất. Cho vào 500ml, sắc lấy 300ml nước thứ 2. Hoà 2 nước thuốc 1 và 2 với nhau, đun nhỏ lửa, cô lấy 800ml, cho vào 700 đường trắng, quấy đều, cô đặc thành cao. Mỗi lần dùng 20ml. Mỗi ngày uống 3 lần.","Bổ khí huyết, có thể uống liên tục","Những người mắc cảm nhiệt không dùng bài thuốc này.","","","",""
151,"CHỮA BĂNG HUYẾT","MỘC NHĨ ĐEN, TÁO TÀU","Băng huyết do tỳ thận đều hư (bệnh trạng như trên)","Mộc nhĩ đen 15 - 30g, táo 20 - 30 quả. Sắc lấy nước uống. Mỗi ngày uống 1 lần. Liên tục điều trị 10 ngày. Đây là bài thuốc đặc hiệu chữa băng huyết.","","Những người phong hàn, cảm mạo, ho, không được dùng bài thuốc này.","","","",""
151,"CHỮA BĂNG HUYẾT","NGÓ SEN, THAN TÓC","Thời kỳ hành kinh quá ngắn hơn 10 ngày 1 lần, máu đỏ sẫm, ra nhiều, nhưng cơ thể vẫn còn khoẻ mạnh.","Ngó sen 50g, tóc đốt thành than 15g. Sắc lấy 1 bát nước, uống 1 lần.","Bổ huyết, điều hoà kinh nguyệt.","","","","",""
151,"CHỮA BĂNG HUYẾT","CÁ CHÉP, RƯỢU","Kỳ kinh nguyệt quá dài hơn 10 ngày chưa sạch","1/2 kg cá chép, 250g rượu, trộn cá với rượu, nấu chín cá, ăn hết 1 lần. Xương cá đen sao giòn, tán thành bột, uống với rượu vào sáng sớm.","Bổ máu, điều hoà kinh nguyệt.","","","","",""
151,"CHỮA BĂNG HUYẾT","GÀ MÁI, LÁ NGẢI","Thời kỳ hành kinh liên tục kéo dài ngày. Cơ thể suy nhược.","Gà mái 1 con, lá ngải 250g, làm sạch gà, bỏ mật, cho vào 1 bát rượu. Ninh nhừ ăn hết 1 lần.","Điều hoà khí huyết, cầm máu","","","","",""
151,"CHỮA BĂNG HUYẾT","GÀ TRỐNG, RỄ CÂY GAI","Chữa băng huyết","Mỗi lần dùng 1 con gà trống (khoảng 500g) 30g rễ cây gai khô (nếu rễ tươi dùng 60 - 90g) làm sạch gà, bỏ mật, đầu, móng, cho rễ cây gai vào bụng gà. Ninh nhừ, ăn thịt gà, uống nước.","Điều hoà khí huyết, kinh nguyệt","","","","",""
151,"CHỮA BĂNG HUYẾT","QUẢ VẢI, HẠT SEN","Chữa băng huyết","Quả vải khô 20 quả. Hạt sen 60g cho vào 1 bát nước. Ninh nhừ, ăn cái, uống nước.","Điều hoà khí huyết, kinh nguyệt","","","","",""
152,"CHỮA KINH NGUYỆT KHÔNG ĐỀU","CHIM CÚT, ÍCH MẪU","Kinh nguyệt không đều","Dùng 2 quả trứng chim cút, 30g cỏ ích mẫu, đổ nước, luộc trứng chín, bóc bỏ vỏ. Trứng, ích mẫu ninh nhừ, ăn trứng, uống nước.","Tăng cường khí huyết, điều hoà kinh nguyệt","","","","",""
152,"CHỮA KINH NGUYỆT KHÔNG ĐỀU","RỄ CÂY TƯỜNG VI, THẤT DIỆP, TRỨNG GÀ","Kinh nguyệt không đều","Mỗi lần dùng 60g rễ cây tường vi tươi (rễ khô thì dùng 30g) thất diệp 9g. Cho vào 3 bát nước. Sắc lấy 1 bát, bỏ bã. Trứng gà luộc chín bóc bỏ vỏ, cho trứng vào nước thuốc, tiếp tục ninh kỹ, cho vào ít rượu. Uống nước, ăn trứng. Trước kỳ kinh nguyệt 1 - 2 ngày. Điều trị mỗi ngày 1 lần. Liên tục vài ngày.","tăng cường khí huyết, điều hoà kinh nguyệt","","","","",""
152,"CHỮA KINH NGUYỆT KHÔNG ĐỀU","HOÀNG KỲ HẤP VỚI GÀ ĐEN","Kinh nguyệt, không đều","Mỗi lần dùng 30 - 50g hoàng kỳ, nửa con gà đen (bỏ lông, ruột), chặt thành miếng. Hấp cách thủy.","Tăng cường khí huyết, điều hoà kinh nguyệt","","","","",""
152,"CHỮA KINH NGUYỆT KHÔNG ĐỀU","UỐNG RƯỢU THUỐC","Kinh nguyệt không đều. Sau khi đẻ cơ thể suy nhược.","Ngọc trúc, bạch thược, phục linh, Trần bì, ngưu tất, sa sâm, nhục quế, xuyên khung, lục hãn, nhân táo tàu, tiền hồ, linh tiên, nhân giao, thục địa, bắc kỷ, cam thảo, đỗ trọng, mỗi thứ 7g, táo 10 quả. Dùng 1 lít rượu trắng, ngâm thuốc 3 ngày đêm cho vào 500g đường trắng, 500ml nước đun sôi để nguội. Uống trước bữa cơm, mỗi ngày 3 lần mỗi lần 1 cốc nhỏ.","","","","","",""
152,"CHỮA KINH NGUYỆT KHÔNG ĐỀU","TRỨNG GÀ, ÍCH MẪU, XUYÊN KHUNG","Kinh nguyệt không đều.","Ích mẫu 30 - 60g, trứng gà 2 quả, luộc chín trứng gà, bóc bỏ vỏ. Nấu chín kỹ ích mẫu với trứng gà. Ăn trứng, uống nước. Hoặc dùng 9g xuyên khung (thay ích mẫu) với 2 quả trứng gà (bỏ vỏ như trên). Nấu chín, ăn hết 1 lần.","","","","","",""
152,"CHỮA KINH NGUYỆT KHÔNG ĐỀU","ĐẬU NÀNH, TÔ MỘC","Kinh nguyệt không đều","Đậu tương 50g (sao vàng tán nhỏ) tô mộc 2g. Sắc kỹ, cho vào 1 ít đường đỏ. Ăn cái, uống nước hết 1 lần.","","","","","",""
153,"CHỮA CHỨNG BẠCH ĐỚI","XUÂN CĂN BẠCH BÌ","Chữa bạch đới (âm đạo phụ nữ tiết ra chất màu trắng, vàng, xanh lục hoặc trắng hồng, có mùi hôi hoặc không có mùi hôi, chảy ra liên tục, gọi là \"bạch đới\". Bệnh trạng chính : bạch đới màu vàng có tính kết dính, có mùi, âm hộ ngứa ngáy, hoặc đau bỏng rát, nước đái màu nâu, bựa lưỡi vàng, mạch ngưng trệ).","Xuân căn bạch bì 30g (bạch bì tươi thì 60g) cho vào 300ml nước sắc lấy 150 ml nước bỏ bã, cho vào 30g đường trắng hoặc mật ong, mỗi lần uống 30 ml. Mỗi ngày 2 - 3 lần. Bài thuốc có tác dụng chữa viêm tử cung, viêm màng trong tử cung gây ra bệnh bạch đới, chữa bệnh lỵ Amip do âm đạo nhiễm vi khuẩn.","","","","","",""
153,"CHỮA CHỨNG BẠCH ĐỚI","HOA MÀO GÀ, NƯỚC NGÓ SEN","Chữa bạch đới","Dùng 500g hoa mào gà trắng tươi, cho nước vào sắc, lấy 3 nước thuốc, đun nhỏ lửa, cô đặc, hoà vào 500 ml nước ép từ ngó sen tươi, lại tiếp tục đun nhỏ lửa cho đến khi đặc dính, cho vào 500g đường trắng, quấy đều. Mỗi lần uống 20g với nước sôi. Mỗi ngày 3 lần.","Thanh nhiệt, mát máu, khỏi bạch đới, chữa khỏi chứng trùng roi (trichomonas) viêm âm đạo, ngứa âm hộ, dẫn đến bạch đới.","Người mắc chứng đái đường không được dùng bài thuốc này.","","","",""
